column name,Format number,"
00
","
01","
02","
03","
04","
05","
06","
07","
08","
09"
Deaths1,Years,All ages,All ages,All ages,All ages,All ages,All ages,All ages,All ages,All ages,All ages
Deaths2,0,0,0,0,0,0,0,0,0,0,
Deaths3,1,1,1,1-4,1,1-4,1-4,1-4,1-4,1-4,
Deaths4,2,2,2,,2,,,,,,N
Deaths5,3,3,3,,3,,,,,,O
Deaths6,4,4,4,,4,,,,,,
Deaths7,5,5-9,5-9,5-9,5-9,5-9,5-9,5-9,5-14,5-14,A
Deaths8,10,10-14,10-14,10-14,10-14,10-14,10-14,10-14,,,G
Deaths9,15,15-19,15-19,15-19,15-19,15-19,15-19,15-19,15-24,15-24,E
Deaths10,20,20-24,20-24,20-24,20-24,20-24,20-24,20-24,,,
Deaths11,25,25-29,25-29,25-29,25-29,25-29,25-29,25-29,25-34,25-34,D
Deaths12,30,30-34,30-34,30-34,30-34,30-34,30-34,30-34,,,I
Deaths13,35,35-39,35-39,35-39,35-39,35-39,35-39,35-39,35-44,35-44,S
Deaths14,40,40-44,40-44,40-44,40-44,40-44,40-44,40-44,,,T
Deaths15,45,45-49,45-49,45-49,45-49,45-49,45-49,45-49,45-54,45-54,R
Deaths16,50,50-54,50-54,50-54,50-54,50-54,50-54,50-54,,,I
Deaths17,55,55-59,55-59,55-59,55-59,55-59,55-59,55-59,55-64,55-64,B
Deaths18,60,60-64,60-64,60-64,60-64,60-64,60-64,60-64,,,U
Deaths19,65,65-69,65-69,65-69,65-69,65-69,65-69,65 &+,65-74,65 &+,T
Deaths20,70,70-74,70-74,70-74,70-74,70-74,70 &+,,,,I
Deaths21,75,75-79,75-79,75-79,75 &+,75 &+,,,75 &+,,O
Deaths22,80,80-84,80-84,80-84,,,,,,,N
Deaths23,85,85-89,85 &+,85 &+,,,,,,,
Deaths24,90,90-94,,,,,,,,,
Deaths25,95,95 &+,,,,,,,,,
Deaths26,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
